Date;SPX;LIBOR
01.01.1985;167.89;0.0875
02.01.1985;166.0127;0.0875
03.01.1985;165.2096;0.08625
04.01.1985;164.3162;0.0875
07.01.1985;164.8783;0.085
08.01.1985;164.6274;0.085
09.01.1985;165.822;0.0838
10.01.1985;168.9642;0.0856
11.01.1985;168.5626;0.0856
14.01.1985;171.1727;0.0863
15.01.1985;171.4739;0.0844
16.01.1985;171.8554;0.085
17.01.1985;171.3936;0.0844
18.01.1985;171.9859;0.0844
21.01.1985;175.9111;0.0844
22.01.1985;176.162;0.0838
23.01.1985;177.9891;0.0825
24.01.1985;177.3968;0.0838
25.01.1985;178.0393;0.0844
28.01.1985;178.0895;0.0856
29.01.1985;179.8764;0.0856
30.01.1985;180.0872;0.0863
31.01.1985;180.9706;0.0881
01.02.1985;179.9632;0.08875
04.02.1985;181.696;0.0894
05.02.1985;181.958;0.0894
06.02.1985;181.7766;0.0894
07.02.1985;183.177;0.0906
08.02.1985;183.5497;0.09
11.02.1985;181.8572;0.0913
12.02.1985;181.9076;0.0913
13.02.1985;184.7184;0.090625
14.02.1985;183.7714;0.0906
15.02.1985;182.9553;0.0913
18.02.1985;182.9553;0.0913
19.02.1985;182.6833;0.0913
20.02.1985;182.5322;0.0919
21.02.1985;181.5348;0.0938
22.02.1985;180.6986;0.09375
25.02.1985;180.5677;0.0944
26.02.1985;182.5221;0.0931
27.02.1985;182.0587;0.095
28.02.1985;183.1871;0.095
01.03.1985;185.2598;0.0975
04.03.1985;184.0768;0.0988
05.03.1985;184.2487;0.0969
06.03.1985;182.6512;0.09625
07.03.1985;181.4986;0.0975
08.03.1985;181.084;0.09375
11.03.1985;180.7706;0.091875
12.03.1985;181.6502;0.0931
13.03.1985;180.1639;0.095
14.03.1985;179.8101;0.094375
15.03.1985;178.4856;0.09375
18.03.1985;178.8394;0.0944
19.03.1985;181.5289;0.0938
20.03.1985;181.0638;0.09125
21.03.1985;181.3368;0.091875
22.03.1985;181.0234;0.091875
25.03.1985;179.9415;0.0938
26.03.1985;180.4066;0.0925
27.03.1985;181.5289;0.0919
28.03.1985;181.5289;0.0913
29.03.1985;183.3084;0.09125
01.04.1985;183.9273;0.0906
02.04.1985;183.1765;0.0913
03.04.1985;181.7357;0.09131
04.04.1985;181.6545;0.0913
05.04.1985;181.6545;0.0913
08.04.1985;180.6398;0.0913
09.04.1985;180.8225;0.089375
10.04.1985;182.0502;0.09
11.04.1985;182.8315;0.0887
12.04.1985;183.1866;0.0888
15.04.1985;183.5722;0.0888
16.04.1985;183.8563;0.0875
17.04.1985;184.3433;0.0875
18.04.1985;183.491;0.084375
19.04.1985;183.765;0.0863
22.04.1985;183.349;0.085
23.04.1985;184.5463;0.0863
24.04.1985;184.9318;0.0856
25.04.1985;186.119;0.0863
26.04.1985;184.8507;0.0863
29.04.1985;183.278;0.0875
30.04.1985;183.1359;0.0869
01.05.1985;181.6491;0.0869
02.05.1985;182.3008;0.0869
03.05.1985;183.3905;0.0856
06.05.1985;183.2988;0.08375
07.05.1985;184.083;0.0844
08.05.1985;183.9404;0.08375
09.05.1985;185.2643;0.0844
10.05.1985;187.6677;0.0838
13.05.1985;188.0038;0.0838
14.05.1985;187.2502;0.0831
15.05.1985;187.9325;0.08125
16.05.1985;189.0731;0.0825
17.05.1985;190.8654;0.081875
20.05.1985;193.2077;0.0806
21.05.1985;193.1262;0.08
22.05.1985;192.0264;0.0806
23.05.1985;191.0487;0.0806
24.05.1985;191.7514;0.07875
27.05.1985;191.7514;0.07875
28.05.1985;191.3135;0.0775
29.05.1985;191.1302;0.0775
30.05.1985;191.2015;0.076875
31.05.1985;193.7169;0.07625
03.06.1985;193.4818;0.075625
04.06.1985;194.2177;0.075625
05.06.1985;194.3403;0.074375
06.06.1985;195.2601;0.075
07.06.1985;193.8498;0.07687
10.06.1985;193.676;0.076875
11.06.1985;193.1957;0.076875
12.06.1985;191.7343;0.07562
13.06.1985;189.4041;0.076875
14.06.1985;191.213;0.075
17.06.1985;190.6305;0.075625
18.06.1985;191.4583;0.0744
19.06.1985;190.7327;0.075
20.06.1985;190.8349;0.0756
21.06.1985;193.7782;0.0788
24.06.1985;193.3081;0.079375
25.06.1985;193.9111;0.08
26.06.1985;194.2381;0.0788
27.06.1985;195.4338;0.0787
28.06.1985;196.7522;0.0788
01.07.1985;197.347;0.0788
02.07.1985;196.9163;0.07875
03.07.1985;196.342;0.07875
04.07.1985;196.342;0.07875
05.07.1985;197.4393;0.078125
08.07.1985;196.8342;0.0781
09.07.1985;195.9318;0.0781
10.07.1985;197.2855;0.0781
11.07.1985;197.87;0.0794
12.07.1985;198.229;0.08
15.07.1985;197.6444;0.0794
16.07.1985;199.6955;0.0794
17.07.1985;200.6493;0.0775
18.07.1985;199.3468;0.0806
19.07.1985;200.116;0.0819
22.07.1985;199.3161;0.0825
23.07.1985;197.4701;0.0825
24.07.1985;196.4753;0.0819
25.07.1985;196.9676;0.081875
26.07.1985;197.3162;0.081875
29.07.1985;194.4447;0.0825
30.07.1985;194.7831;0.0831
31.07.1985;196.465;0.0831
01.08.1985;197.6896;0.0825
02.08.1985;197.0413;0.08125
05.08.1985;196.1563;0.0825
06.08.1985;193.3882;0.0819
07.08.1985;193.1309;0.0819
08.08.1985;194.4378;0.080625
09.08.1985;193.7895;0.0813
12.08.1985;193.0795;0.0806
13.08.1985;192.7399;0.081875
14.08.1985;192.8531;0.0814
15.08.1985;192.6987;0.08
16.08.1985;191.505;0.0812
19.08.1985;191.7932;0.0813
20.08.1985;193.5426;0.0813
21.08.1985;194.6539;0.0806
22.08.1985;192.8016;0.0806
23.08.1985;192.6061;0.080625
26.08.1985;192.7502;0.0813
27.08.1985;193.5631;0.0813
28.08.1985;194.3143;0.08125
29.08.1985;194.4172;0.0806
30.08.1985;194.7774;0.0819
02.09.1985;194.7774;0.0819
03.09.1985;194.0339;0.0825
04.09.1985;193.4763;0.0819
05.09.1985;193.3731;0.0819
06.09.1985;194.3747;0.0844
09.09.1985;194.385;0.0838
10.09.1985;192.991;0.0838
11.09.1985;191.0601;0.0844
12.09.1985;189.6764;0.0838
13.09.1985;188.871;0.0831
16.09.1985;188.84;0.0831
17.09.1985;187.2705;0.0831
18.09.1985;187.6319;0.0825
19.09.1985;189.3666;0.0831
20.09.1985;187.983;0.0825
23.09.1985;190.3063;0.0819
24.09.1985;188.5715;0.0819
25.09.1985;186.5477;0.0813
26.09.1985;187.1982;0.08125
27.09.1985;187.2085;0.08125
30.09.1985;188.6851;0.08187
01.10.1985;191.7836;0.0819
02.10.1985;190.737;0.081875
03.10.1985;191.0478;0.0813
04.10.1985;189.8665;0.0819
07.10.1985;188.4675;0.0825
08.10.1985;188.4675;0.0825
09.10.1985;189.1411;0.0824
10.10.1985;189.4105;0.0825
11.10.1985;190.9649;0.0825
14.10.1985;193.1308;0.0825
15.10.1985;192.8302;0.0825
16.10.1985;194.7992;0.0825
17.10.1985;194.4675;0.0825
18.10.1985;193.8251;0.0819
21.10.1985;193.7422;0.0819
22.10.1985;194.8613;0.081875
23.10.1985;195.9494;0.081875
24.10.1985;195.338;0.0825
25.10.1985;194.3225;0.0825
28.10.1985;194.5712;0.0825
29.10.1985;196.0945;0.0819
30.10.1985;196.965;0.0813
31.10.1985;197.4002;0.0813
01.11.1985;199.1785;0.0815
04.11.1985;198.8873;0.0813
05.11.1985;200.052;0.0813
06.11.1985;200.4576;0.0819
07.11.1985;200.312;0.0819
08.11.1985;201.4559;0.08125
11.11.1985;205.1581;0.08125
12.11.1985;205.9901;0.08125
13.11.1985;204.9709;0.08125
14.11.1985;207.0092;0.081
15.11.1985;206.0213;0.0825
18.11.1985;206.6452;0.0813
19.11.1985;206.6036;0.0813
20.11.1985;206.9364;0.0813
